import time: self [us] | cumulative | imported package
import time:       392 |        392 |   _io
import time:       149 |        149 |   marshal
import time:      1468 |       1468 |   posix
import time:      1929 |       3936 | _frozen_importlib_external
import time:       563 |        563 |   time
import time:       616 |       1179 | zipimport
import time:       109 |        109 |     _codecs
import time:      1458 |       1567 |   codecs
import time:      1976 |       1976 |   encodings.aliases
import time:      2766 |       6307 | encodings
import time:      1062 |       1062 | encodings.utf_8
import time:      1039 |       1039 | _signal
import time:       115 |        115 |     _abc
import time:       570 |        684 |   abc
import time:       596 |       1279 | io
import time:        75 |         75 |       _stat
import time:       337 |        411 |     stat
import time:      2496 |       2496 |     _collections_abc
import time:       150 |        150 |       errno
import time:       176 |        176 |       genericpath
import time:       498 |        823 |     posixpath
import time:      1625 |       5354 |   os
import time:       408 |        408 |   _sitebuiltins
import time:      1526 |       1526 |   encodings.utf_8_sig
import time:      2672 |       2672 |   oai_py_sys_path_prepend
import time:      1720 |       1720 |   _distutils_hack
import time:       976 |        976 |       warnings
import time:      1052 |       1052 |         importlib
import time:      1298 |       1298 |         __future__
import time:       642 |        642 |                 itertools
import time:      1129 |       1129 |                 keyword
import time:       233 |        233 |                   _operator
import time:      1258 |       1491 |                 operator
import time:       649 |        649 |                 reprlib
import time:       177 |        177 |                 _collections
import time:      3248 |       7333 |               collections
import time:        96 |         96 |               _functools
import time:      1891 |       9318 |             functools
import time:      1223 |       1223 |             types
import time:      4352 |      14893 |           enum
import time:       182 |        182 |             _sre
import time:       884 |        884 |               re._constants
import time:      2016 |       2900 |             re._parser
import time:       648 |        648 |             re._casefix
import time:      1965 |       5694 |           re._compiler
import time:      1491 |       1491 |           copyreg
import time:      1730 |      23805 |         re
import time:       115 |        115 |               _json
import time:       996 |       1110 |             json.scanner
import time:      1553 |       2663 |           json.decoder
import time:      1134 |       1134 |           json.encoder
import time:      2012 |       5808 |         json
import time:      2093 |       2093 |         email
import time:      2151 |       2151 |             _ast
import time:      2163 |       2163 |             contextlib
