case_id	expected	actual	status	note
REG_001_TINY_BUNDLE_AS_FULL_OS	DENY	DENY	PASS	missing_full_baseline_zip
REG_002_NORMAL_PYTHON_CANARY_LEAK	DENY	DENY	PASS	python_reference_found
REG_003_MISSING_WEBRUN_GOVERNANCE_REPAIR	DENY	DENY	PASS	web_run_false
REG_004_MISSING_PRE_TOOL_CONTRACT	DENY	DENY	PASS	missing_contract_fixture
REG_005_ZERO_BYTE_RECEIPT	DENY	DENY	PASS	zero_byte
REG_006_TRACKER_CONTRADICTION	DENY	DENY	PASS	synthetic_stale_stage_conflict
REG_007_BAD_SHA_SIDECAR	DENY	DENY	PASS	sha_mismatch
REG_008_UNBOUNDED_COMMAND	DENY	DENY	PASS	missing_timeout_fixture
REG_009_ACSM_RESUME_WITHOUT_MANIFEST_HASH	DENY	DENY	PASS	missing_manifest_hash_fixture
REG_010_FULL_VALID_CONTEXT_ALLOW	ALLOW	ALLOW	PASS	valid_context
